date,equity,bh_equity,position
2013-01-01,1.0,1.0,0.0
2013-01-02,1.0,1.0,0.0
2013-01-03,1.0,1.0075187969924813,0.0
2013-01-04,1.0,1.0150375939849623,0.0
2013-01-05,1.0,1.007518796992481,0.0
2013-01-06,1.0,1.007518796992481,0.0
2013-01-07,1.0,1.0225563909774436,0.0
2013-01-08,1.0,1.0300751879699248,0.0
2013-01-09,1.0,1.037593984962406,0.0
2013-01-10,1.0,1.0601503759398496,0.0
2013-01-11,1.0,1.0601503759398496,0.0
2013-01-12,1.0,1.0676691729323307,0.0
2013-01-13,1.0,1.0601503759398494,0.0
2013-01-14,1.0,1.075187969924812,0.0
2013-01-15,1.0,1.075187969924812,0.0
2013-01-16,1.0,1.1052631578947367,0.0
2013-01-17,1.0,1.1654135338345863,0.0
2013-01-18,1.0,1.1804511278195489,0.0
2013-01-19,1.0,1.1729323308270676,0.0
2013-01-20,1.0,1.1804511278195489,0.0
2013-01-21,1.0,1.263157894736842,0.0
2013-01-22,1.0,1.3007518796992479,0.0
2013-01-23,1.0,1.3157894736842102,0.0
2013-01-24,1.0,1.2706766917293228,0.0
2013-01-25,1.0,1.3082706766917287,0.0
2013-01-26,1.0,1.3458646616541348,0.0
2013-01-27,1.0,1.3383458646616537,0.0
2013-01-28,1.0,1.4060150375939846,0.0
2013-01-29,1.0,1.4661654135338342,0.0
2013-01-30,1.0,1.4812030075187965,0.0
2013-01-31,1.0,1.5338345864661649,0.0
2013-02-01,1.0,1.5413533834586461,0.0
2013-02-02,1.0,1.4736842105263155,0.0
2013-02-03,1.0,1.5488721804511274,0.0
2013-02-04,1.0,1.5338345864661649,0.0
2013-02-05,1.0,1.5488721804511276,0.0
2013-02-06,1.0,1.5939849624060147,0.0
2013-02-07,1.0,1.6616541353383456,0.0
2013-02-08,1.0,1.7067669172932327,0.0
2013-02-09,1.0,1.7744360902255636,0.0
2013-02-10,1.0,1.8045112781954884,0.0
2013-02-11,1.0,1.849624060150376,0.0
2013-02-12,1.0,1.8947368421052633,0.0
2013-02-13,1.0,1.8195488721804514,0.0
2013-02-14,1.0,2.0451127819548875,0.0
2013-02-15,1.0,2.0375939849624065,0.0
2013-02-16,1.0,2.0451127819548875,0.0
2013-02-17,1.0,2.015037593984963,0.0
2013-02-18,1.0,2.030075187969925,0.0
2013-02-19,1.0,2.210526315789474,0.0
2013-02-20,1.0,2.2255639097744364,0.0
2013-02-21,1.0,2.240601503759399,0.0
2013-02-22,1.0,2.278195488721805,0.0
2013-02-23,1.0,2.240601503759399,0.0
2013-02-24,1.0,2.24812030075188,0.0
2013-02-25,1.0,2.285714285714286,0.0
2013-02-26,1.0,2.3383458646616546,0.0
2013-02-27,1.0,2.323308270676692,0.0
2013-02-28,1.0,2.5112781954887224,0.0
2013-03-01,1.0,2.593984962406016,0.0
2013-03-02,1.0,2.5789473684210535,0.0
2013-03-03,1.0,2.593984962406016,0.0
2013-03-04,1.0,2.721804511278197,0.0
2013-03-05,1.0,3.030075187969926,0.0
2013-03-06,1.0,3.0827067669172945,0.0
2013-03-07,1.0,3.1578947368421066,0.0
2013-03-08,1.0,3.3233082706766934,0.0
2013-03-09,1.0,3.518796992481204,0.0
2013-03-10,1.0,3.4586466165413543,0.0
2013-03-11,1.0,3.639097744360903,0.0
2013-03-12,1.0,3.3308270676691736,0.0
2013-03-13,1.0,3.526315789473685,0.0
2013-03-14,1.0,3.548872180451129,0.0
2013-03-15,1.0,3.533834586466166,0.0
2013-03-16,1.0,3.533834586466166,0.0
2013-03-17,1.0,3.563909774436091,0.0
2013-03-18,1.0,3.8796992481203016,0.0
2013-03-19,1.0,4.443609022556392,0.0
2013-03-20,1.0,4.849624060150377,0.0
2013-03-21,1.0,5.3233082706766925,0.0
2013-03-22,1.0,5.255639097744362,0.0
2013-03-23,1.0,4.8345864661654145,0.0
2013-03-24,1.0,5.375939849624062,0.0
2013-03-25,1.0,5.533834586466166,0.0
2013-03-26,1.0,5.902255639097745,0.0
2013-03-27,1.0,6.684210526315789,0.0
2013-03-28,1.0,6.481203007518797,0.0
2013-03-29,1.0,6.804511278195488,0.0
2013-03-30,1.0,6.932330827067669,0.0
2013-03-31,1.0,6.992481203007519,0.0
2013-04-01,1.0,7.819548872180451,0.0
2013-04-02,1.0,8.872180451127818,0.0
2013-04-03,1.0,10.150375939849622,0.0
2013-04-04,1.0,9.932330827067666,0.0
2013-04-05,1.0,10.699248120300751,0.0
2013-04-06,1.0,10.721804511278194,0.0
2013-04-07,1.0,12.203007518796992,0.0
2013-04-08,1.0,14.097744360902254,0.0
2013-04-09,1.0,17.293233082706763,0.0
2013-04-10,1.0,12.406015037593981,0.0
2013-04-11,1.0,9.39097744360902,0.0
2013-04-12,1.0,8.796992481203004,0.0
2013-04-13,1.0,6.992481203007515,0.0
2013-04-14,1.0,6.76691729323308,0.0
2013-04-15,1.0,6.195488721804509,0.0
2013-04-16,1.0,5.142857142857141,0.0
2013-04-17,1.0,6.9999999999999964,0.0
2013-04-18,1.0,8.195488721804507,0.0
2013-04-19,1.0,8.90977443609022,0.0
2013-04-20,1.0,9.518796992481198,0.0
2013-04-21,1.0,8.962406015037589,0.0
2013-04-22,1.0,9.578947368421046,0.0
2013-04-23,1.0,10.789473684210519,0.0
2013-04-24,1.0,11.593984962406005,0.0
2013-04-25,1.0,10.654135338345855,0.0
2013-04-26,1.0,10.293233082706758,0.0
2013-04-27,1.0,9.62406015037593,0.0
2013-04-28,1.0,10.105263157894727,0.0
2013-04-29,1.0,10.827067669172921,0.0
2013-04-30,1.0,10.466165413533822,0.0
2013-05-01,1.0,8.75187969924811,0.0
2013-05-02,1.0,7.99248120300751,0.0
2013-05-03,1.0,7.375939849624052,0.0
2013-05-04,1.0,8.48872180451127,0.0
2013-05-05,1.0,8.721804511278187,0.0
2013-05-06,1.0,8.443609022556382,0.0
2013-05-07,1.0,8.24060150375939,0.0
2013-05-08,1.0,8.511278195488714,0.0
2013-05-09,1.0,8.48120300751879,0.0
2013-05-10,1.0,8.849624060150369,0.0
2013-05-11,1.0,8.691729323308262,0.0
2013-05-12,1.0,8.631578947368412,0.0
2013-05-13,1.0,8.87218045112781,0.0
2013-05-14,1.0,8.375939849624052,0.0
2013-05-15,1.0,8.586466165413526,0.0
2013-05-16,1.0,8.887218045112775,0.0
2013-05-17,1.0,9.285714285714278,0.0
2013-05-18,1.0,9.263157894736834,0.0
2013-05-19,1.0,9.210526315789465,0.0
2013-05-20,1.0,9.17293233082706,0.0
2013-05-21,1.0,9.240601503759391,0.0
2013-05-22,1.0,9.308270676691722,0.0
2013-05-23,1.0,9.49624060150375,0.0
2013-05-24,1.0,10.007518796992471,0.0
2013-05-25,1.0,9.924812030075179,0.0
2013-05-26,1.0,10.037593984962397,0.0
2013-05-27,1.0,9.759398496240594,0.0
2013-05-28,1.0,9.699248120300744,0.0
2013-05-29,1.0,9.947368421052625,0.0
2013-05-30,1.0,9.684210526315784,0.0
2013-05-31,1.0,9.684210526315784,0.0
2013-06-01,1.0,9.72180451127819,0.0
2013-06-02,1.0,9.210526315789467,0.0
2013-06-03,1.0,9.075187969924807,0.0
2013-06-04,1.0,9.127819548872175,0.0
2013-06-05,1.0,9.165413533834581,0.0
2013-06-06,1.0,8.947368421052627,0.0
2013-06-07,1.0,8.345864661654131,0.3333333333333333
2013-06-08,0.9906906906906907,8.112781954887215,0.3333333333333333
2013-06-09,0.9677367821946136,7.548872180451125,0.3333333333333333
2013-06-10,0.9866931135855439,7.992481203007515,0.6666666666666666
2013-06-11,1.003400993213521,8.195488721804507,0.6666666666666666
2013-06-12,1.00217359138696,8.180451127819545,0.6666666666666666
2013-06-13,0.972083820567131,7.812030075187967,1.0
2013-06-14,0.9355955924611462,7.5187969924811995,1.0
2013-06-15,0.9337244012762239,7.503759398496237,1.0
2013-06-16,0.9346599968686851,7.511278195488719,1.0
2013-06-17,0.953371908717908,7.661654135338344,1.0
2013-06-18,1.0038940707108097,8.067669172932328,1.0
2013-06-19,1.0132500266354212,8.14285714285714,1.0
2013-06-20,1.0413178944092556,8.368421052631577,1.0
2013-06-21,1.024477173744955,8.233082706766917,1.0
2013-06-22,1.0123144310429602,8.13533834586466,1.0
2013-06-23,1.0095076442655768,8.112781954887218,1.0
2013-06-24,0.9552430999028302,7.6766917293233075,1.0
2013-06-25,0.9664702470123641,7.7669172932330826,1.0
2013-06-26,0.9730194161595922,7.819548872180452,1.0
2013-06-27,0.9515007175329859,7.646616541353384,1.0
2013-06-28,0.8860090260607056,7.120300751879699,1.0
2013-06-29,0.8888158128380891,7.142857142857142,1.0
2013-06-30,0.9122057026496179,7.330827067669173,1.0
2013-07-01,0.82425971695827,6.624060150375939,1.0
2013-07-02,0.8457784155848765,6.7969924812030085,1.0
2013-07-03,0.7381849224518447,5.932330827067671,1.0
2013-07-04,0.7484764739689173,6.015037593984963,1.0
2013-07-05,0.6408829808358854,5.150375939849624,1.0
2013-07-06,0.6521101279454191,5.240601503759399,1.0
2013-07-07,0.715730628232777,5.7518796992481205,1.0
2013-07-08,0.7110526502704713,5.714285714285714,1.0
2013-07-09,0.7176018194176994,5.766917293233083,1.0
2013-07-10,0.8233241213658089,6.616541353383459,1.0
2013-07-11,0.8326800772904205,6.691729323308272,1.0
2013-07-12,0.8794598569134777,7.067669172932332,1.0
2013-07-13,0.9196904673893069,7.390977443609024,1.0
2013-07-14,0.8832022392833223,7.097744360902258,1.0
2013-07-15,0.9253040409440738,7.436090225563912,1.0
2013-07-16,0.9084633202797731,7.300751879699249,1.0
2013-07-17,0.9215616585742292,7.406015037593987,1.0
2013-07-18,0.8429716288074929,6.7744360902255645,1.0
2013-07-19,0.8607479450642547,6.917293233082708,1.0
2013-07-20,0.8401648420301093,6.7518796992481205,1.0
2013-07-21,0.8607479450642546,6.917293233082707,1.0
2013-07-22,0.8570055626944099,6.887218045112782,1.0
2013-07-23,0.8944293863928557,7.18796992481203,1.0
2013-07-24,0.88975140843055,7.150375939849624,1.0
2013-07-25,0.9065921290948508,7.2857142857142865,1.0
2013-07-26,0.8981717687627003,7.2180451127819545,1.0
2013-07-27,0.8832022392833221,7.097744360902255,1.0
2013-07-28,0.9243684453516124,7.428571428571427,1.0
2013-07-29,0.9496295263480634,7.6315789473684195,1.0
2013-07-30,1.0104432398580379,8.120300751879698,0.6666666666666667
2013-07-31,0.9992160927485041,7.984962406015037,0.6666666666666667
2013-08-01,0.9854164982472692,7.819548872180451,0.6666666666666667
2013-08-02,0.9885748844596002,7.857142857142857,0.3333333333333334
2013-08-03,0.989836224025099,7.887218045112783,0.3333333333333334
2013-08-04,0.9904652905799289,7.902255639097745,0.3333333333333334
2013-08-05,0.995491438581603,8.022556390977444,1.1102230246251565e-16
2013-08-06,0.995491438581603,8.015037593984962,1.1102230246251565e-16
